name,url
flag-bs,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f8.png
flag-bt,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1f9.png
flag-bv,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1fb.png
flag-bw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1fc.png
flag-by,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1fe.png
flag-bz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e7-1f1ff.png
flag-ca,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1e6.png
flag-cc,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1e8.png
flag-cd,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1e9.png
flag-cf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1eb.png
flag-cg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1ec.png
flag-ch,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1ed.png
flag-ci,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1ee.png
flag-ck,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f0.png
flag-cl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f1.png
flag-cm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f2.png
cn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f3.png
flag-co,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f4.png
flag-cp,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f5.png
flag-cr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1f7.png
flag-cu,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1fa.png
flag-cv,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1fb.png
flag-cw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1fc.png
flag-cx,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1fd.png
flag-cy,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1fe.png
flag-cz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e8-1f1ff.png
de,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e9-1f1ea.png
flag-dg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e9-1f1ec.png
flag-dj,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e9-1f1ef.png
flag-dk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e9-1f1f0.png
flag-dm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e9-1f1f2.png
flag-do,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e9-1f1f4.png
flag-dz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1e9-1f1ff.png
flag-ea,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1e6.png
flag-ec,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1e8.png
